id_site,skill_id,activity_type
526721,0,oucontent
526735,1,oucontent
526737,2,oucontent
526738,3,resource
526739,4,resource
526740,5,resource
526741,6,resource
526742,7,resource
526743,8,resource
526744,9,resource
526745,10,resource
526746,11,resource
526747,12,resource
526748,13,resource
526749,14,resource
526751,15,resource
526752,16,resource
526753,17,resource
526754,18,resource
526755,19,resource
526756,20,resource
526757,21,resource
526759,22,url
526760,23,url
526761,24,url
526762,25,url
526763,26,url
526764,27,url
526765,28,url
526766,29,url
526767,30,url
526768,31,url
526769,32,url
526770,33,url
526771,34,url
526772,35,url
526773,36,subpage
526774,37,subpage
526775,38,subpage
526776,39,subpage
526777,40,subpage
526778,41,subpage
526779,42,subpage
526780,43,subpage
526781,44,subpage
526782,45,subpage
526783,46,forumng
526784,47,forumng
526785,48,forumng
526786,49,forumng
526787,50,forumng
526788,51,forumng
526789,52,quiz
526790,53,quiz
526791,54,quiz
526792,55,quiz
526793,56,homepage
526794,57,homepage
526795,58,homepage
526796,59,ouwiki
526797,60,ouwiki
526800,61,oucontent
526801,62,oucontent
526802,63,oucontent
526804,64,oucontent
526805,65,oucontent
526810,66,oucontent
526811,67,oucontent
526812,68,oucontent
526813,69,oucontent
526819,70,oucontent
526820,71,oucontent
526821,72,oucontent
526823,73,oucontent
526824,74,oucontent
526825,75,oucontent
526826,76,oucontent
526827,77,oucontent
526830,78,oucontent
526831,79,oucontent
526833,80,oucontent
526834,81,oucontent
526835,82,oucontent
526837,83,oucontent
526838,84,resource
526839,85,resource
526841,86,resource
526844,87,resource
526845,88,resource
526846,89,resource
526847,90,resource
526848,91,resource
526849,92,resource
526850,93,resource
526852,94,resource
526853,95,resource
526854,96,resource
526855,97,resource
526856,98,resource
526857,99,resource
526858,100,url
526859,101,url
526860,102,url
526861,103,url
526862,104,url
527105,105,oucontent
527106,106,oucontent
527107,107,oucontent
527108,108,oucontent
527109,109,oucontent
527111,110,oucontent
527112,111,oucontent
527113,112,oucontent
527114,113,oucontent
527115,114,oucontent
527116,115,oucontent
527117,116,oucontent
527118,117,oucontent
527119,118,oucontent
527120,119,oucontent
527121,120,oucontent
527122,121,oucontent
527124,122,oucontent
527126,123,oucontent
527127,124,oucontent
527128,125,oucontent
527129,126,oucontent
527130,127,oucontent
527131,128,oucontent
527132,129,oucontent
527133,130,oucontent
527134,131,oucontent
527135,132,oucontent
527139,133,resource
527140,134,resource
527141,135,resource
527142,136,resource
527144,137,resource
